DistrictSub-DistrictSex	Donotspeakreadorwrite	Speakonly	Readonly	Speakandreadonly	Speakreadandwrite	Donotspeakreadorwrite	Speakonly	Readonly	Speakandreadonly	Speakreadandwrite
Female	549	1422	142	75	1576	2322	206	778	51	407
VENILALE	2051	3678	218	133	7167	6124	730	1930	191	4272
Male	933	1764	111	75	3771	2904	385	965	96	2304
Female	1118	1914	107	58	3396	3220	345	965	95	1968
BOBONARO	9274	32404	1356	901	33658	46327	2819	14137	1595	12715
Male	4109	15229	686	475	17863	21635	1623	7083	834	7187
Female	5165	17175	670	426	15795	24692	1196	7054	761	5528
MALIANA	1148	7741	227	196	11915	9976	768	4407	949	5127
Male	493	3595	125	100	6292	4655	425	2227	489	2809
Female	655	4146	102	96	5623	5321	343	2180	460	2318
CAILACO	2372	3012	147	74	2843	5550	355	1026	48	1469
Male	1055	1468	82	38	1504	2607	203	537	26	774
Female	1317	1544	65	36	1339	2943	152	489	22	695
BALIBO	885	6393	187	196	4830	9122	241	1973	95	1060
Male	412	3029	97	108	2676	4424	151	1032	55	660
Female	473	3364	90	88	2154	4698	90	941	40	400
ATABAE	1549	3384	219	98	3885	5628	408	1814	104	1181
Male	715	1676	106	51	2090	2703	245	936	59	695
Female	834	1708	113	47	1795	2925	163	878	45	486
LOLOTOE	678	1799	310	156	3172	2823	325	2150	226	591
Male	277	819	148	85	1602	1249	186	1006	116	374
Female	401	980	162	71	1570	1574	139	1144	110	217
BOBONARO	2642	10075	266	181	7013	13228	722	2767	173	3287
Male	1157	4642	128	93	3699	5997	413	1345	89	1875
Female	1485	5433	138	88	3314	7231	309	1422	84	1412
COVALIMA	3885	19384	1158	533	26361	26731	1952	14768	586	7284
Male	1788	9187	607	294	13880	12677	1083	7543	308	4145
Female	2097	10197	551	239	12481	14054	869	7225	278	3139
FATULULIC	325	459	72	30	746	983	60	329	18	242
Male	137	230	35	17	367	452	31	161	8	134
Female	188	229	37	13	379	531	29	168	10	108
FATUMEAN	60	1417	43	14	1313	1624	49	1017	10	147
Male	31	669	22	7	704	765	25	531	8	104
Female	29	748	21	7	609	859	24	486	2	43
FOROHEM	453	1450	127	68	1490	2074	80	1196	39	199
Male	220	663	65	42	763	972	47	583	19	132
Female	233	787	62	26	727	1102	33	613	20	67
MAUKATAR	600	2046	92	66	2687	2891	212	1265	143	980
Male	277	959	60	35	1409	1354	126	681	68	511
Female	323	1087	32	31	1278	1537	86	584	75	469
SUAI	1327	7087	530	200	12608	9776	854	6714	234	4174
Male	637	3334	270	106	6699	4640	486	3412	134	2374
Female	690	3753	260	94	5909	5136	368	3302	100	1800
TILOMAR	273	2438	119	65	3103	3418	155	1983	76	366
Male	126	1172	63	33	1618	1654	77	1023	39	219
Female	147	1266	56	32	1485	1764	78	960	37	147
ZUMALAI	847	4487	175	90	4414	5965	542	2264	66	1176
Male	360	2160	92	54	2320	2840	291	1152	32	671
DILI	4522	33294	2405	1608	156785	57803	10031	53461	6836	70483
Male	2401	15969	1340	843	84608	28732	5254	28543	3661	38971
Female	2121	17325	1065	765	72177	29071	4777	24918	3175	31512
VERACRUZ	733	3790	382	217	23761	7471	2106	7514	1027	10765
Male	393	1794	233	96	12597	3738	1088	3986	557	5744
Female	340	1996	149	121	11164	3733	1018	3528	470	5021
NAINFETO	514	3043	288	183	18466	5398	1565	6195	1405	7931
Male	277	1443	150	101	9700	2635	809	3259	747	4221
Female	237	1600	138	82	8766	2763	756	2936	658	3710
METINARO	123	1335	58	103	2420	2264	156	625	129	865
Male	60	658	28	54	1317	1133	96	327	74	487
Female	63	677	30	49	1103	1131	60	298	55	378
ATAURO	247	2813	83	31	4276	3697	297	1618	106	1732
Male	89	1200	36	14	2269	1584	157	806	49	1012
Female	158	1613	47	17	2007	2113	140	812	57	720
DOMALEIXO	2102	13213	1028	718	72597	25315	3817	27204	3384	29938
Male	1178	6467	611	393	39830	12932	2033	14767	1823	16924
Female	924	6746	417	325	32767	12383	1784	12437	1561	13014
CRISTOREI	803	9100	566	356	35265	13658	2090	10305	785	19252
Male	404	4407	282	185	18895	6710	1071	5398	411	10583
Female	399	4693	284	171	16370	6948	1019	4907	374	8669
ERMERA	6121	54363	1267	736	36396	64105	3232	15942	921	14683
Male	2746	25639	677	391	20319	30341	1808	8648	517	8458
Female	3375	28724	590	345	16077	33764	1424	7294	404	6225
RAILACO	170	3824	82	79	4548	4864	455	1544	90	1750
Male	76	1864	43	44	2450	2388	248	794	59	988
Female	94	1960	39	35	2098	2476	207	750	31	762
ERMERA	773	13788	331	191	13339	15561	1186	5523	341	5811
Male	331	6413	189	90	7378	7271	659	3025	183	3263
Female	442	7375	142	101	5961	8290	527	2498	158	2548
LETEFOHO	1282	10185	209	162	6138	11884	544	2942	145	2461
Male	591	4884	97	85	3453	5685	320	1607	83	1415
Female	691	5301	112	77	2685	6199	224	1335	62	1046
ATSABE	2501	8317	192	136	3479	11125	424	1495	208	1373
Male	1104	3928	108	72	1948	5185	243	812	108	812
Female	1397	4389	84	64	1531	5940	181	683	100	561
HATOLIA	1395	18249	453	168	8892	20671	623	4438	137	3288
Male	644	8550	240	100	5090	9812	338	2410	84	1980
Female	751	9699	213	68	3802	10859	285	2028	53	1308
LIQUIÇA	4941	22442	653	347	25468	30268	1978	10744	532	10329
Male	2237	10556	334	189	14066	14232	1118	5824	286	5922
Female	2704	11886	319	158	11402	16036	860	4920	246	4407
BAZARTETE	967	8097	274	149	10844	10228	787	4746	207	4363
Male	441	3777	129	82	5946	4790	446	2551	119	2469
Female	526	4320	145	67	4898	5438	341	2195	88	1894
LIQUIÇA	851	7598	143	132	9115	9256	562	3718	215	4088
Male	405	3524	80	73	4970	4330	308	2001	109	2304
Female	446	4074	63	59	4145	4926	254	1717	106	1784
MAUBARA	3123	6747	236	66	5509	10784	629	2280	110	1878
Male	1391	3255	125	34	3150	5112	364	1272	58	1149
Female	1732	3492	111	32	2359	5672	265	1008	52	729
LAUTEM	15371	5896	4079	1108	24450	24707	1774	10605	1390	12428
Male	6162	2947	1991	537	13215	10702	1010	5315	720	7105
Female	9209	2949	2088	571	11235	14005	764	5290	670	5323
LOSPALOS	5351	3125	1414	608	14627	10803	912	5036	876	7498
Male	2054	1474	710	292	7773	4636	505	2544	442	4176
Female	3297	1651	704	316	6854	6167	407	2492	434	3322
LAUTEM	3656	1708	1313	339	4979	5882	531	2996	320	2266
Male	1493	819	637	160	2800	2542	295	1525	174	1373
Female	2163	889	676	179	2179	3340	236	1471	146	893
ILIOMAR	2986	553	475	50	1917	3946	115	1096	64	760
Male	1191	340	231	20	1047	1736	75	526	32	460
Female	1795	213	244	30	870	2210	40	570	32	300
LURO	2414	359	350	80	1331	2817	176	471	80	990
Male	1067	222	169	52	733	1287	108	235	41	572
Female	1347	137	181	28	598	1530	68	236	39	418
TUTUALA	964	151	527	31	1596	1259	40	1006	50	914
Male	357	92	244	13	862	501	27	485	31	524
Female	607	59	283	18	734	758	13	521	19	390
MANUFAHI	2036	15942	732	319	22570	20846	1308	10617	439	8389
Male	1015	7797	392	170	12079	10253	758	5544	245	4653
Female	1021	8145	340	149	10491	10593	550	5073	194	3736
SAME	1072	9193	418	192	12690	12026	816	5152	224	5347
Male	515	4400	224	108	6828	5811	467	2722	131	2944
Female	557	4793	194	84	5862	6215	349	2430	93	2403
ALAS	270	2330	101	29	3299	3167	67	1848	30	917
Male	131	1161	52	17	1732	1579	32	936	15	531
Female	139	1169	49	12	1567	1588	35	912	15	386
FATUBERLIU	178	1929	122	74	3711	2583	243	1626	150	1412
Male	98	942	69	34	1975	1265	151	838	82	782
Female	80	987	53	40	1736	1318	92	788	68	630
TURISCAI	516	2490	91	24	2870	3070	182	1991	35	713
Male	271	1294	47	11	1544	1598	108	1048	17	396
Female	245	1196	44	13	1326	1472	74	943	18	317
MANATUTO	4246	12816	580	295	17728	19602	1507	5984	592	7980
Male	1970	6210	292	158	9480	9415	809	3081	359	4446
Female	2276	6606	288	137	8248	10187	698	2903	233	3534
MANATUTO	783	2801	165	83	6063	4538	634	1510	229	2984
Male	374	1362	78	45	3213	2227	328	762	128	1627
Female	409	1439	87	38	2850	2311	306	748	101	1357
LALEIA	322	768	61	35	1527	1385	111	623	44	550
Male	153	395	29	15	787	692	62	317	24	284
Female	169	373	32	20	740	693	49	306	20	266
LACLO	1517	2284	92	83	2380	4427	202	921	93	713
Male	726	1142	46	42	1271	2178	109	467	60	413
Female	791	1142	46	41	1109	2249	93	454	33	300
SOIBADA	193	707	66	28	1582	1025	136	780	48	587
Male	89	356	34	16	791	499	67	402	29	289
Female	104	351	32	12	791	526	69	378	19	298
BARIQUE/NATARBORA	212	1204	73	26	2699	1738	136	876	107	1357
Male	88	572	34	14	1537	789	85	460	76	835
Female	124	632	39	12	1162	949	51	416	31	522
LACLUBAR	1219	5052	123	40	3477	6489	288	1274	71	1789
Male	540	2383	71	26	1881	3030	158	673	42	998
Female	679	2669	52	14	1596	3459	130	601	29	791
OECUSSI	29371	3493	3711	524	15670	34704	1092	7523	537	8913
Male	13474	2074	1626	273	8528	16422	628	3636	291	4998
Female	15897	1419	2085	251	7142	18282	464	3887	246	3915
PANTEMACASAR	13045	2315	1847	328	11394	16767	688	4753	355	6366
Male	5939	1325	811	176	6168	7948	386	2332	183	3570
Female	7106	990	1036	152	5226	8819	302	2421	172	2796
NITIBE	6667	320	701	78	1667	7240	130	1131	100	832
Male	3132	219	303	35	948	3476	80	549	67	465
Female	3535	101	398	43	719	3764	50	582	33	367
OESILO	5034	592	792	71	1711	5755	184	1101	43	1117
Male	2332	351	339	35	920	2727	111	506	21	612
Female	2702	241	453	36	791	3028	73	595	22	505
PASSABE	4625	266	371	47	898	4942	90	538	39	598
Male	2071	179	173	27	492	2271	51	249	20	351
Female	2554	87	198	20	406	2671	39	289	19	247
VIQUEQUE	10505	17203	1483	571	29333	32273	1911	11581	847	12483
Male	4552	8009	762	284	15669	14756	1008	6038	444	7030
Female	5953	9194	721	287	13664	17517	903	5543	403	5453
UATUCARBAU	1012	1599	244	37	3228	3187	162	1114	47	1610
Male	434	762	116	15	1642	1453	85	546	25	860
Female	578	837	128	22	1586	1734	77	568	22	750
OSSU	4086	2536	316	141	5806	7076	608	1776	138	3287
Male	1800	1185	156	74	3042	3168	311	895	71	1812
Female	2286	1351	160	67	2764	3908	297	881	67	1475
WATULARI	3460	3208	567	145	7030	7789	334	3890	121	2276
Male	1458	1517	305	75	3750	3499	200	2019	65	1322
Female	2002	1691	262	70	3280	4290	134	1871	56	954
VIQUEQUE	1466	7527	273	215	11188	11051	680	3867	503	4568
Male	642	3490	140	100	6043	5182	336	2044	262	2591
Female	824	4037	133	115	5145	5869	344	1823	241	1977
LACLUTA	481	2333	83	33	2081	3170	127	934	38	742
Male	218	1055	45	20	1192	1454	76	534	21	445
Female	263	1278	38	13	889	1716	51	400	17	297
